create table Funcionario (
	matricula INT,
	nome VARCHAR(50)
);
insert into Funcionario (matricula, nome) values (1, 'Alexio Hulburt');
insert into Funcionario (matricula, nome) values (2, 'Mercie Ingledew');
insert into Funcionario (matricula, nome) values (3, 'Elroy Zanotti');
insert into Funcionario (matricula, nome) values (4, 'Karylin Agronski');
insert into Funcionario (matricula, nome) values (5, 'Sherwynd Petrashkov');
insert into Funcionario (matricula, nome) values (6, 'Norrie Bigg');
insert into Funcionario (matricula, nome) values (7, 'Janot Cracie');
insert into Funcionario (matricula, nome) values (8, 'Henryetta Marlon');
insert into Funcionario (matricula, nome) values (9, 'Prinz Snaden');
insert into Funcionario (matricula, nome) values (10, 'Tailor Worgen');

Alter Table  Funcionario Add Primary Key (matricula);



-- Produto


create table Produto (
	sku VARCHAR(50),
	modelo VARCHAR(50),
	marca VARCHAR(50),
	preco DECIMAL(6,2),
	descricao VARCHAR(26),
	nome VARCHAR(21)
);
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('83-762', 'Suburban 1500', 'Chevrolet', 408.61, 'Lorem ipsum dolor sit amet', 'pastilha de freio');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('69-625', 'Thunderbird', 'Ford', 189.41, 'Lorem ipsum dolor sit amet', 'bieleta');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('45-850', 'Q7', 'Audi', 238.68, 'Lorem ipsum dolor sit amet', 'embreagem');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('50-568', 'Camaro', 'Chevrolet', 458.15, 'Lorem ipsum dolor sit amet', 'farol');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('83-576', 'Escort', 'Ford', 761.62, 'Lorem ipsum dolor sit amet', 'oleo');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('49-494', 'Suburban 1500', 'GMC', 896.81, 'Lorem ipsum dolor sit amet', 'filtro de oleo');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('92-524', 'Sentra', 'Nissan', 84.02, 'Lorem ipsum dolor sit amet', 'lanterna');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('98-872', 'FX', 'Infiniti', 371.95, 'Lorem ipsum dolor sit amet', 'amortecedor dianteiro');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('13-500', 'Touareg', 'Volkswagen', 576.92, 'Lorem ipsum dolor sit amet', 'amortecedor traseiro');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('10-698', 'Echo', 'Toyota', 416.6, 'Lorem ipsum dolor sit amet', 'mola dianteira');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('77-215', 'Yukon XL 2500', 'GMC', 302.77, 'Lorem ipsum dolor sit amet', 'mola traseira');
alter table produto Add Primary Key (sku);



-- Estoque

create table Estoque (
	sku VARCHAR(50),
	modelo VARCHAR(50),
	marca VARCHAR(50),
	preco DECIMAL(6,2),
	descricao VARCHAR(26),
	nome VARCHAR(21)
);
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('28-732', 'Golf', 'Volkswagen', 630.27, 'Lorem ipsum dolor sit amet', 'pastilha de freio');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('97-947', 'Insight', 'Honda', 466.73, 'Lorem ipsum dolor sit amet', 'bieleta');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('34-616', '2500', 'GMC', 142.73, 'Lorem ipsum dolor sit amet', 'embreagem');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('91-612', 'Liberty', 'Jeep', 575.93, 'Lorem ipsum dolor sit amet', 'farol');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('42-662', 'Legacy', 'Subaru', 274.59, 'Lorem ipsum dolor sit amet', 'oleo');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('34-737', 'B-Series', 'Mazda', 643.19, 'Lorem ipsum dolor sit amet', 'filtro de oleo');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('32-860', 'Fiesta', 'Ford', 755.04, 'Lorem ipsum dolor sit amet', 'lanterna');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('62-615', '8 Series', 'BMW', 275.46, 'Lorem ipsum dolor sit amet', 'amortecedor dianteiro');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('68-174', 'Fleetwood', 'Cadillac', 552.32, 'Lorem ipsum dolor sit amet', 'amortecedor traseiro');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('78-412', 'GTO', 'Pontiac', 219.09, 'Lorem ipsum dolor sit amet', 'mola dianteira');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('71-025', 'Mazda6', 'Mazda', 81.07, 'Lorem ipsum dolor sit amet', 'mola traseira');
 Alter table Estoque add primary key (sku);



-- Cliente

create table Cliente (
	id VARCHAR(40),
	cpf VARCHAR(50),
	nome VARCHAR(50),
	data_nascimento DATE,
	data_cadastro DATE,
	sexo VARCHAR(50),
	numero INT,
	estado VARCHAR(19),
	municipio VARCHAR(5),
	logradouro VARCHAR(5),
	bairro VARCHAR(5)
);
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('cc39e062-dc46-4c3f-a70e-d4576e59aae2', '67256048253', 'Domenico Warkup', '08/04/2000', '11/02/2022', 'F', 25, 'Maranhão', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('a4468cdc-dac0-480e-b979-5ef6c892711f', '08274907572', 'Wilfred Raatz', '20/12/1964', '03/08/2020', 'M', 82, 'Maranhão', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('de9d3c85-562d-4c9d-81d9-fdd6daa45c6f', '32473809656', 'Susy Skewes', '22/01/1968', '01/07/2021', 'F', 76, 'Roraima', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('93f2226c-49c5-40f7-815d-614ed085d188', '97094831253', 'Rolfe Kerfut', '23/01/1984', '09/01/2022', 'M', 24, 'Rio Grande do Sul', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('a6b01bcf-3a6b-44a0-9df3-e3112bd82712', '71388180361', 'Noble Tedorenko', '28/03/2022', '06/12/2020', 'F', 8, 'Roraima', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('9a225f39-eb1c-4825-b570-5a4cb85b2ec2', '97739585248', 'Cthrine Blackstock', '21/11/1983', '07/07/2021', 'F', 11, 'Pernambuco', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('ae5ea58a-3b59-474f-beee-c56434229285', '00405972733', 'Sidonnie Weatherhill', '17/08/1991', '03/11/2021', 'F', 97, 'Maranhão', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('b3416e82-0892-4ac2-8d2a-74651b2534a2', '92935971559', 'Teodora Brydone', '17/10/1974', '10/04/2020', 'F', 50, 'Maranhão', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('a535f524-66e0-49d6-a63c-1861fb969848', '67466177455', 'Dexter Baccas', '11/11/1974', '07/09/2022', 'F', 13, 'Bahia', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('5c625ddc-b03e-4f21-8fb6-0506087277f7', '82728277628', 'Jasper Quennell', '25/12/1969', '05/08/2021', 'F', 87, 'São Paulo', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('ca955f4d-7a50-4e2c-a48a-d296bf137aa6', '41010448124', 'Gideon Bissett', '11/08/1956', '31/01/2022', 'F', 53, 'Tocantins', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('0e582f98-bbf3-4fb5-bd53-93c24baa35f4', '40490575495', 'Dene Janew', '12/06/1968', '24/07/2022', 'M', 92, 'Rondonia', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('b678ad26-9dc5-455b-8b2d-241991bb774f', '30393978754', 'Lexi Dell Casa', '19/09/1985', '29/04/2020', 'M', 86, 'Piauí', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('b0089ed5-05a4-4497-8b26-26042392118e', '00523016449', 'Kaitlin Saynor', '30/05/1973', '23/08/2022', 'F', 1, 'Pernambuco', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('dab59317-a340-44a2-a76a-7cc745ef4c3b', '37207980635', 'Linea Huikerby', '06/08/2017', '10/08/2020', 'F', 83, 'Sergipe', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('7f29422e-f2af-4cc5-9dcc-854111484a07', '76371791491', 'Oriana Pedrollo', '30/06/1994', '25/06/2021', 'F', 6, 'São Paulo', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('dac8686a-fa23-4508-830e-b7b4ad315c7d', '08351668813', 'Dominga Hindge', '08/02/2002', '02/08/2021', 'M', 20, 'Pernambuco', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('099f92c3-39d4-430e-a66d-f137d8713762', '32451513504', 'Yulma Ccomini', '26/11/1996', '27/09/2020', 'F', 46, 'Pará', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('d07d4be7-9d61-4e23-a1e0-79d508be4af8', '20029338261', 'Melinda Liepmann', '23/04/1962', '27/09/2021', 'F', 46, 'Piauí', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('93d0a967-ee14-4fb7-8d47-744098c7a849', '79760832399', 'Carlota Crowley', '23/03/1946', '03/01/2020', 'M', 42, 'Tocantins', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('65b4387e-5b08-4b51-af10-15ed28b6016b', '35578042808', 'Alfred Dounbare', '26/09/2015', '12/01/2020', 'M', 4, 'Maranhão', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('6100356f-93e0-41ab-bfc3-f7cb5f8f4500', '07341810550', 'Earlie Pidon', '25/10/1942', '22/07/2022', 'M', 18, 'Piauí', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('4c32015c-e56f-4002-aa33-8f2666c6cf1c', '53594068045', 'Bevon Nelius', '21/02/1986', '02/10/2020', 'F', 43, 'Amazonas', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('3a79a6fe-47e9-4873-9993-9c581f9ac601', '07042068878', 'Liza Yakobowitch', '26/02/1941', '04/05/2021', 'M', 14, 'Ceará', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('7269c586-02ec-4e0f-9820-e15f96a54eb9', '25901529692', 'Morganica Sadlier', '09/10/1953', '19/05/2021', 'M', 66, 'Mato Grosso', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('c9538a51-a47a-4e0e-90a0-16d25238399d', '68458851876', 'Jilleen Shadfourth', '08/07/2009', '06/03/2021', 'F', 13, 'Rio de Janeiro', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('8aa0a589-62af-4164-803f-014f0c35ed98', '03968938322', 'Layne James', '27/09/2010', '04/09/2021', 'F', 50, 'Tocantins', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('ad0dc65c-1ced-47a4-97b1-4ff6a2e72f6a', '39519372095', 'Haleigh Copnall', '05/10/2002', '26/11/2020', 'F', 1, 'Paraná', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('8ca64c84-ef64-4d8c-99e1-914c938d7de3', '72171510033', 'Gianni Elix', '08/05/1987', '13/05/2020', 'F', 32, 'Amapá', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('dcaa7286-94aa-42f4-b6a3-46d18d40febd', '45436020329', 'Sully Roblou', '18/01/1981', '08/01/2022', 'F', 41, 'Paraná', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('694a47cf-869f-404c-8042-eb538ed79608', '12081604251', 'Danny Rayner', '03/10/1952', '05/04/2022', 'F', 30, 'Bahia', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('8753d67e-59e8-420b-8283-f56ad200f23d', '83473005688', 'Loralee Ovenell', '28/05/2012', '02/01/2020', 'M', 65, 'Amapá', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('8140f559-e66e-4fd9-b9d4-ba8de09a97aa', '23199188705', 'Matilda Blaasch', '17/06/2011', '11/02/2021', 'M', 71, 'Tocantins', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('03373cfc-c269-4a9d-aaff-b13502090240', '10499202563', 'Lavinia Langan', '18/06/2022', '06/06/2020', 'F', 13, 'Tocantins', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('593b58a0-d566-4786-b1ff-a9a5dc19ea97', '48490724158', 'Rosetta Lucock', '08/07/1982', '31/08/2022', 'M', 31, 'Alagoas', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('7fe48d5a-aeaa-443b-94b5-405f93a29756', '61229893179', 'Bear Rubanenko', '04/03/1961', '13/05/2020', 'F', 26, 'Goiás', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('4dfe94c6-e581-47d7-9593-3cf347a00ac6', '67007781492', 'Wynny Dionisio', '29/11/2001', '10/08/2020', 'M', 17, 'Mato Grosso', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('c65ac2d7-9ee8-4c59-bf96-21f96cd267bf', '01060894630', 'Cal Danell', '01/11/1984', '16/08/2021', 'F', 85, 'Roraima', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('a33f2711-8557-48e5-b490-a0362f90721b', '13517295632', 'Simmonds Dinnington', '04/06/1982', '08/01/2021', 'M', 66, 'Sergipe', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('144e4e19-1d7d-40d8-bc98-28b6b5120354', '42123891936', 'Rock McOmish', '10/03/2008', '27/03/2021', 'M', 5, 'Santa Catarina', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('59dbd7ac-fef5-4625-b168-6bdf39d9777e', '26055326358', 'Kelley Stainland', '05/09/1996', '22/04/2020', 'M', 36, 'Mato Grosso do Sul', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('af1bbf8c-a04b-4183-bf30-5f81634a15d1', '49384395805', 'Josselyn Hacquoil', '24/01/1963', '07/10/2020', 'F', 97, 'Paraíba', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('66178c45-9237-46e6-b021-b8e33a9a9a86', '54468520394', 'Adolpho Treffrey', '04/03/2004', '15/03/2020', 'M', 25, 'Pernambuco', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('3fe655e6-0625-46e1-b8a1-fed6993bfcd7', '50467938400', 'Joete Ballaam', '23/12/1967', '06/06/2021', 'M', 10, 'Mato Grosso do Sul', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('6215c1a0-4259-4a0d-ae36-6b924aa0c274', '41544589946', 'Nicol Fenton', '07/08/1963', '05/12/2021', 'F', 3, 'Paraná', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('63f65023-8797-47ec-bf2e-3bc29fefeb87', '63015182643', 'Vincent Carluccio', '23/04/2015', '05/06/2022', 'M', 21, 'Pernambuco', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('b1a68377-1d09-4f98-b639-116bc08798a2', '04751155743', 'Dyana Birdseye', '21/05/1973', '23/09/2020', 'F', 72, 'Rondonia', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('20f4600b-3a42-46f1-aa34-3c428099bded', '77354527295', 'Stavro Swaffield', '21/05/1943', '21/08/2020', 'M', 5, 'Piauí', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('4ffb95a6-e7f8-43e7-82d1-452172fdce15', '38078991104', 'Devy Hayball', '23/05/2008', '27/03/2020', 'F', 84, 'Maranhão', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('86468f5b-b61c-47fd-a2fb-900d4275119a', '47669102780', 'Lock Laite', '04/07/1947', '22/03/2020', 'F', 38, 'Rondonia', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('49da3f09-f112-4381-9a57-d8c75978219e', '15837100292', 'Barbabas Spick', '30/05/1949', '06/06/2020', 'F', 66, 'Pará', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('213ba3a1-14b8-4726-a8e7-2d49cdf7aba0', '94385645689', 'Stevy Pozer', '22/12/1977', '18/09/2021', 'M', 24, 'Mato Grosso', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('91393f9f-fdaf-4551-a344-cfffb27036e3', '84708684338', 'Pyotr Shapcote', '07/03/1962', '30/05/2021', 'F', 90, 'Rio de Janeiro', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('2538df48-ad08-4301-a049-ea8e74df9f7a', '67430631850', 'Alf Ruppertz', '19/12/2012', '24/08/2022', 'M', 54, 'Rio Grande do Sul', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('2ec866f0-f808-4e94-9ae1-b5adaf0f16e5', '93284765946', 'Diarmid Pozzi', '06/11/1992', '25/02/2021', 'F', 0, 'Mato Grosso do Sul', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('7da28418-cbde-4975-8af5-a2de5a0bbf15', '75077327085', 'Druci Madgin', '30/03/1991', '09/04/2021', 'F', 81, 'Ceará', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('f1d6bae9-b309-4d2f-b8c2-3e26409c933e', '65456778481', 'Brandais Mussington', '23/09/1965', '02/01/2022', 'M', 11, 'Alagoas', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('916f7718-763d-49e2-80c2-3db704698086', '30475404065', 'Harriette Doylend', '02/10/1978', '25/03/2021', 'M', 42, 'Rio Grande do Sul', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('9366339f-e2f1-479b-9d54-a2521bf14c25', '32804753243', 'Hube Chritchlow', '11/12/2018', '26/03/2021', 'F', 40, 'Rondonia', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('3b54ceb3-f2b1-41f4-aa13-9f4b42fcc767', '44873565346', 'Staci Havile', '21/11/1978', '21/01/2021', 'M', 88, 'Rio Grande do Sul', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('7d76e5e5-ee8c-4d77-a4df-5add3487b976', '94068637728', 'Baxter Conti', '12/06/1949', '14/04/2021', 'M', 9, 'Santa Catarina', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('8decdcd2-03f1-4a31-bb8e-b181a212a2ea', '78814639874', 'Sayers L'' Anglois', '22/11/1948', '20/03/2021', 'F', 57, 'Alagoas', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('0a79b295-4c5a-417c-a179-693cae6ebb37', '77229765071', 'Jabez Jansens', '14/07/1980', '17/01/2021', 'M', 9, 'Amapá', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('cedb124b-8ef9-48aa-986f-fc1098a015be', '14404770460', 'Jimmie Alelsandrowicz', '18/08/2007', '19/06/2020', 'M', 83, 'Rio Grande do Norte', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('88829a48-8d63-4099-8e10-564becb86cf9', '51677906720', 'Dorey McDoual', '30/03/2002', '20/07/2020', 'M', 91, 'São Paulo', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('417c757a-df53-4006-bbf4-8a4e9104b6e3', '41630271810', 'Deane Averall', '26/07/1996', '22/10/2021', 'F', 99, 'Paraná', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('3ab3b234-d6af-4af5-8ae6-4a0fbc8a7bb3', '64569634959', 'Idaline Lycett', '26/06/1951', '11/08/2021', 'M', 68, 'Bahia', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('01ba084c-aea1-45c4-a621-0106027e157f', '59854993162', 'Raf Borghese', '22/08/2021', '12/06/2021', 'M', 59, 'Alagoas', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('c9bf9e3b-d24f-4e43-a739-57bda21e5fa0', '60528848035', 'Jaimie Laurenceau', '31/10/1991', '02/02/2022', 'F', 90, 'Pará', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('c07952b2-7cd3-423f-8be5-fcd791e07eea', '84788105647', 'Nickie Sabattier', '04/08/2010', '18/02/2021', 'F', 81, 'Mato Grosso', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('22986ded-d6e4-4198-8002-0bb305b314ca', '35057905418', 'Sherye Mollindinia', '17/08/1985', '30/08/2022', 'F', 38, 'Rio de Janeiro', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('fc36d19f-9cfe-44c0-9251-dea4e3f0fcd0', '74428504932', 'Law Greenhead', '03/02/1981', '19/06/2022', 'M', 39, 'Sergipe', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('669a2c2f-57f4-491e-8cf1-7a946af40111', '75030442809', 'Blair Pennacci', '20/05/1986', '07/07/2021', 'F', 60, 'Paraíba', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('cbafb275-6a24-4e94-9dd9-1c66dc43321b', '92401334955', 'Celinda Whiteway', '27/10/2007', '23/10/2020', 'M', 69, 'Distrito Federal', 'lorem', 'lorem', 'lorem');
